parcel_id,county,just_value,building_value,land_value,year_built,land_sqft,sale_date,target,property_age,land_building_ratio,building_value_pct,land_value_pct,value_per_sqft,value_category,age_category,is_top_county
514124142020,BROWARD,267010.0,235200.0,31810.0,1955,5301.0,2025-04-01,1,70,0.1352460236138452,0.8808625861855879,0.11913366865035523,50.360241418332706,medium,very_old,1
514124163510,BROWARD,536250.0,496230.0,40020.0,1978,6670.0,2025-04-01,1,47,0.0806479240515002,0.925368903740972,0.07462923146064063,80.38524958776794,high,very_old,1
514126110160,BROWARD,486910.0,450910.0,36000.0,1962,6000.0,2025-04-01,1,63,0.07983837165205551,0.9260624631606187,0.07393548307596255,81.1381436427262,medium,very_old,1
514126170990,BROWARD,582370.0,535380.0,46990.0,1968,7832.0,2025-04-01,1,57,0.08776927085570836,0.9193108860159589,0.08068739686557194,74.34827013915486,high,very_old,1
514127110660,BROWARD,491240.0,458780.0,32460.0,1968,6492.0,2025-04-01,1,57,0.07075271207831188,0.9339204178804293,0.06607754645886642,75.65686123517635,medium,very_old,1
514128022440,BROWARD,405250.0,384250.0,21000.0,1972,6000.0,2025-04-01,1,53,0.054651777093618494,0.9481777959832302,0.051819736410274125,67.53041159806699,medium,very_old,1
514128050620,BROWARD,465470.0,431010.0,34460.0,1973,8615.0,2025-04-01,1,52,0.07995155576075784,0.9259653125543804,0.07403253908406754,54.02390900649954,medium,very_old,1
514202071010,BROWARD,415900.0,369050.0,46850.0,1993,,2025-04-01,1,32,0.1269472240963986,0.8873505954542067,0.11264700012743417,45.272963798175205,medium,old,1
514204014141,BROWARD,258070.0,195070.0,63000.0,1933,,2025-04-01,1,92,0.3229593327557658,0.7558772585838781,0.24411886651347886,45.272963798175205,medium,very_old,1
514207040194,BROWARD,513850.0,461290.0,52560.0,1961,,2025-04-01,1,64,0.11394109141518044,0.8977115934385649,0.10228646047200453,45.272963798175205,high,very_old,1
514207132010,BROWARD,721100.0,664810.0,56290.0,1967,,2025-04-01,1,58,0.08467068084011847,0.9219374262412616,0.07806118699044932,45.272963798175205,high,very_old,1
514210120100,BROWARD,235720.0,174770.0,60950.0,1926,,2025-04-01,1,99,0.34874206819209136,0.7414273654023188,0.2585683922942801,45.272963798175205,medium-low,very_old,1
